,Count,Ratio elderly,Ratio female,Ratio children,Ratio widows in female population,Average wage earners per household,Minimum level of education,Ratio of women with 3 children and more to women,Ratio of unemployed,Ratio of low income,Ratio of high income women,Ratio of high income men,Room occupancy per household,Average household room area,Household population density,Avg no. of private/owned households w/ 5 or more rooms,Average room area per person
Ukrainian,41,0.3902439024390244,0.6585365853658537,0.07317073170731707,0.4074074074074074,0.45714285714285713,0.024390243902439025,0.0,0.6097560975609756,0.6097560975609756,0.2962962962962963,7.717910375765762e-05,0.43157894736842106,17.957894736842107,1.1714285714285715,0.03333333333333333,41.609756097560975
Serbian,19,0.21052631578947367,0.5263157894736842,0.05263157894736842,0.2,0.47058823529411764,0.0,0.1,0.5789473684210527,0.5789473684210527,0.6,1.9294775939414404e-05,0.34545454545454546,23.581818181818182,1.1176470588235294,0.1,68.26315789473684
Turk,304,0.019736842105263157,0.28618421052631576,0.1875,0.06896551724137931,0.9456521739130435,0.0756578947368421,0.11494252873563218,0.4276315789473684,0.4309210526315789,0.21839080459770116,0.001485697747334909,0.562962962962963,21.30185185185185,1.6521739130434783,0.2396694214876033,37.838815789473685
Tartar,44,0.13636363636363635,0.5227272727272727,0.09090909090909091,0.08695652173913043,0.8928571428571429,0.0,0.043478260869565216,0.4318181818181818,0.45454545454545453,0.4782608695652174,0.00012541604360619363,0.6470588235294118,21.970588235294116,1.5714285714285714,0.1,33.95454545454545
Slovakian,6,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,18.8,1.0,0.0,47.0
Jewish,132,0.38636363636363635,0.45454545454545453,0.06818181818181818,0.3,0.4329896907216495,0.06060606060606061,0.016666666666666666,0.6818181818181818,0.6818181818181818,0.25,0.00026047947518209445,0.49070631970260226,22.118959107806692,1.3608247422680413,0.08641975308641975,45.07575757575758
Russian,94,0.3829787234042553,0.7340425531914894,0.07446808510638298,0.2898550724637681,0.45454545454545453,0.0,0.028985507246376812,0.6276595744680851,0.6382978723404256,0.2753623188405797,0.00014471081954560802,0.41964285714285715,19.089285714285715,1.2207792207792207,0.09090909090909091,45.48936170212766
Lipovan,20,0.35,0.75,0.0,0.4,0.3888888888888889,0.05,0.06666666666666667,0.65,0.65,0.3333333333333333,1.9294775939414404e-05,0.45454545454545453,18.386363636363637,1.1111111111111112,0.0,40.45
Bulgarian,38,0.15789473684210525,0.6052631578947368,0.13157894736842105,0.08695652173913043,0.68,0.05263157894736842,0.0,0.5526315789473685,0.5526315789473685,0.43478260869565216,6.753171578795041e-05,0.5352112676056338,31.718309859154928,1.52,0.13636363636363635,59.26315789473684
Czech,7,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4375,19.5625,1.1666666666666667,0.0,44.714285714285715
Croat,3,0.0,0.3333333333333333,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.9294775939414404e-05,0.5,35.0,1.5,0.0,70.0
Greek,61,0.21311475409836064,0.3770491803278688,0.09836065573770492,0.21739130434782608,0.68,0.04918032786885246,0.0,0.4426229508196721,0.4426229508196721,0.2608695652173913,0.00027012686315180164,0.40939597315436244,25.93288590604027,1.22,0.17142857142857143,63.34426229508197
Pole,18,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.2857142857142857,0.3076923076923077,0.05555555555555555,0.07142857142857142,0.7777777777777778,0.8333333333333334,0.07142857142857142,1.9294775939414404e-05,0.5294117647058824,17.794117647058822,1.3846153846153846,0.0,33.611111111111114
Armenian,55,0.41818181818181815,0.43636363636363634,0.07272727272727272,0.2916666666666667,0.475,0.0,0.0,0.6545454545454545,0.6545454545454545,0.2916666666666667,0.00011576865563648642,0.4824561403508772,22.526315789473685,1.375,0.13157894736842105,46.69090909090909
Saxon,4,0.5,0.25,0.0,1.0,0.25,0.25,1.0,0.75,0.75,0.0,9.647387969707202e-06,0.4,18.5,1.0,0.3333333333333333,46.25
Swabian,4,0.5,0.5,0.0,0.5,0.5,0.25,0.0,0.5,0.5,0.5,9.647387969707202e-06,0.4,24.6,1.0,0.0,61.5
Aromanian,396,0.17676767676767677,0.5353535353535354,0.12121212121212122,0.18867924528301888,1.0532544378698225,0.08333333333333333,0.07547169811320754,0.5505050505050505,0.5505050505050505,0.42924528301886794,0.0008393227533645266,0.7071428571428572,21.053571428571427,2.3431952662721893,0.425,29.772727272727273
Szekler,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,14.5,1.0,0.0,29.0
Italian,46,0.15217391304347827,0.1956521739130435,0.08695652173913043,0.1111111111111111,0.6428571428571429,0.0,0.0,0.41304347826086957,0.43478260869565216,0.1111111111111111,0.00024118469924268003,0.368,23.376,1.0952380952380953,0.08571428571428572,63.52173913043478
Chinese,146,0.0,0.3904109589041096,0.0547945205479452,0.017543859649122806,1.4935064935064934,0.0684931506849315,0.05263157894736842,0.21232876712328766,0.21232876712328766,0.7017543859649122,0.0007235540977280401,0.7373737373737373,20.464646464646464,1.896103896103896,0.022222222222222223,27.753424657534246
Albanian,4,0.0,0.5,0.0,0.0,0.75,0.0,0.5,0.25,0.25,0.5,1.9294775939414404e-05,0.4,19.3,1.0,0.0,48.25
Macedonian,41,0.14634146341463414,0.4878048780487805,0.12195121951219512,0.2,1.0476190476190477,0.04878048780487805,0.05,0.4634146341463415,0.4634146341463415,0.4,0.00013506343157590082,0.640625,19.4375,1.9523809523809523,0.5294117647058824,30.341463414634145
Csango,12,0.08333333333333333,0.4166666666666667,0.0,0.2,0.75,0.0,0.2,0.5,0.5,0.4,3.858955187882881e-05,0.5,18.5,1.5,0.16666666666666666,37.0
